totalScanTimeInSeconds|grandTotal|lineItemVoids|scansWithoutRegistration|quantityModifications|scannedLineItemsPerSecond|valuePerSecond|lineItemVoidsPerPosition|fraud|trustLevel_1|trustLevel_2|trustLevel_3|trustLevel_4|trustLevel_5|trustLevel_6
0.9986188055136039|0.05182585262010829|0.006632193205498319|0.0|0.0028423685166421363|2.606852845750217e-05|4.917063815949551e-05|0.00022869631743097687|0|0|0|0|0|1|0
0.9672675989044334|0.2450411250557898|0.04478090735668673|0.017912362942674693|0.035824725885349386|0.001160986487025215|0.002268899306072125|0.0031986362397633376|0|0|0|1|0|0|0
0.9991294075211066|0.04096694193371503|0.0019771690122449338|0.0065905633741497795|0.0032952816870748898|5.651538513452978e-06|2.7023048768941287e-05|0.00015208992401884123|0|0|0|1|0|0|0
0.9986538956266209|0.05147165890859485|0.004460765586271897|0.0022303827931359483|0.0022303827931359483|9.028629397116498e-06|2.873906136716633e-05|0.00015381950297489283|0|0|0|0|0|0|1
0.9822724293504017|0.1862434213138099|0.006853063460584198|0.015990481408029795|0.004568708973722799|0.00014343621196571575|0.0004331242356135121|0.0002538171652068219|0|0|0|0|0|1|0
0.9997680277464893|0.014399256399621514|0.014282400396378419|0.006492000180172008|0.0025968000720688034|4.384207913882399e-05|1.8700332986521444e-05|0.0005493230921684005|1|1|0|0|0|0|0
0.9822192276482253|0.18585325045602305|0.006681763453389288|0.023386172086862507|0.003340881726694644|0.00012499897616884736|0.0006321539131157247|0.0006074330412172087|0|0|0|1|0|0|0
0.9998735401347393|0.014755415349561202|0.0|0.0051773387191442815|0.0025886693595721408|4.188785371475954e-06|9.550430646965206e-06|0.0|0|0|1|0|0|0|0
0.9976465134516831|0.06786485222482135|0.007259382114513286|0.0|0.0020741091755752247|2.910652169466275e-05|7.05455844332862e-05|0.0002688660042412325|0|0|0|0|0|0|1
0.9982810576188091|0.056564670133766454|0.013769393898190471|0.002753878779638094|0.005507757559276188|5.1279122103605847e-05|7.802023466726402e-05|0.0005099775517848318|0|0|1|0|0|0|0
0.9984631322667312|0.05518576725176787|0.0026052527913026256|0.0013026263956513128|0.0026052527913026256|6.797789409791558e-06|3.599854354322758e-05|0.0001628282994564141|0|0|0|0|0|1|0
0.9992128467624937|0.03790207892562444|0.010462961746204123|0.0|0.0|3.423744026899256e-05|4.9610050949770235e-05|0.0005231480873102061|0|0|0|0|1|0|0
0.9999704741684344|0.003145068426820076|0.002304079433567821|0.005760198583919553|0.002304079433567821|3.3180867418891437e-06|1.811675361071472e-06|0.00023040794335678214|0|0|0|0|1|0|0
0.9999338376887656|0.009946555945572708|0.004105300213384962|0.002345885836219978|0.002345885836219978|9.287231316413399e-06|5.833757152828565e-06|0.00015204815605129472|0|0|0|0|1|0|0
0.9994887419838222|0.03164746450657636|0.001204929164537459|0.0006024645822687295|0.002409858329074918|7.626133952768748e-06|1.9076229358997196e-05|5.73775792636885e-05|0|0|0|0|0|0|1
0.9992812262592075|0.0372720411403578|0.0034457973319283017|0.0011485991106427672|0.005742995553213836|7.921373176846669e-06|4.284142659811236e-05|0.0005742995553213836|0|1|0|0|0|0|0
0.9993832096012476|0.033106980457060634|0.008488969347964266|0.0077172448617856965|0.0|1.3110377371373393e-05|2.556523587417808e-05|0.0003858622430892848|0|0|0|1|0|0|0
0.9907050372441278|0.13406422063317147|0.010074966480448758|0.016791610800747928|0.006716644320299172|6.830485749456783e-05|0.00022722749259859555|0.00041979027001869823|0|0|0|0|0|0|1
0.9179531764924944|0.3896348015327854|0.052831837495970896|0.03301989843498181|0.03301989843498181|0.0001900425809207587|0.0028031280685811887|0.013207959373992724|0|0|0|1|0|0|0
0.9998775035100945|0.014731373891622043|0.004059827450447019|0.00231990140025544|0.0017399260501915798|6.391839704880102e-06|8.544880447576567e-06|0.0002136751289708958|0|0|0|1|0|0|0
0.9993761077622568|0.03522933754211007|0.0005909971068966628|0.0011819942137933255|0.0011819942137933255|5.242434419544615e-06|2.0833434383270312e-05|3.93998071264442e-05|0|0|0|1|0|0|0
0.9999830624242931|0.001793989547206373|0.0039866434382363845|0.0026577622921575895|0.0|2.2074437642504865e-06|1.192019632695266e-06|0.0007973286876472768|0|0|0|0|1|0|0
0.9944551980552637|0.10491821757640866|0.0|0.005323635963893274|0.00212945438555731|9.11971899596278e-06|0.0001123321387327719|0.0|0|0|0|0|1|0|0
